kit_name	function_name	initializer	return_type	calc_func	preparation	geometry3D	static	description
NCDK	EccentricConnectivityIndex	new NCDK.QSAR.Descriptors.Moleculars.EccentricConnectivityIndexDescriptor()	DescriptorValue_int	Calculate				Returns the eccentric connectivity index.
NCDK	FMF	new NCDK.QSAR.Descriptors.Moleculars.FMFDescriptor()	DescriptorValue_double	Calculate				Returns the FMF.
NCDK	FractionalPSA	new NCDK.QSAR.Descriptors.Moleculars.FractionalPSADescriptor()	DescriptorValue_double	Calculate				Returns the fractional PSA.
NCDK	FractionalCSP3	new NCDK.QSAR.Descriptors.Moleculars.FractionalCSP3Descriptor()	DescriptorValue_double	Calculate				Returns the fractional CSP.
NCDK	FSP3	new NCDK.QSAR.Descriptors.Moleculars.FractionalCSP3Descriptor()	DescriptorValue_double	Calculate				Returns the fractional CSP3.
NCDK	FragmentComplexity	new NCDK.QSAR.Descriptors.Moleculars.FragmentComplexityDescriptor()	DescriptorValue_double	Calculate				Returns the fragment complexity.
NCDK	GravitationalIndex	new NCDK.QSAR.Descriptors.Moleculars.GravitationalIndexDescriptor()	DescriptorValue_double[]	Calculate		TRUE		Returns the gravitational index.
NCDK	HBondAcceptorCount	new NCDK.QSAR.Descriptors.Moleculars.HBondAcceptorCountDescriptor()	DescriptorValue_int	Calculate				Returns the hbond acceptor count.
NCDK	HBondDonorCount	new NCDK.QSAR.Descriptors.Moleculars.HBondDonorCountDescriptor()	DescriptorValue_int	Calculate				Returns the hbond donor count.
NCDK	HybridizationRatio	new NCDK.QSAR.Descriptors.Moleculars.HybridizationRatioDescriptor()	DescriptorValue_double	Calculate				Returns the hybridization ratio.
NCDK	JPlogP	new NCDK.QSAR.Descriptors.Moleculars.JPlogPDescriptor()	DescriptorValue_double	Calculate				Returns the JPLogP.
NCDK	KappaShapeIndices	new NCDK.QSAR.Descriptors.Moleculars.KappaShapeIndicesDescriptor()	DescriptorValue_double[]	Calculate				Returns the kappa shape indices.
NCDK	KierHallSmarts	new NCDK.QSAR.Descriptors.Moleculars.KierHallSmartsDescriptor()	DescriptorValue_int[]	Calculate				Returns the kier hall SMARTS.
NCDK	LargestChain	new NCDK.QSAR.Descriptors.Moleculars.LargestChainDescriptor()	DescriptorValue_int	Calculate				Returns the largest chain.
NCDK	LargestPiSystem	new NCDK.QSAR.Descriptors.Moleculars.LargestPiSystemDescriptor()	DescriptorValue_int	Calculate				Returns the largest pi system.
NCDK	LengthOverBreadth	new NCDK.QSAR.Descriptors.Moleculars.LengthOverBreadthDescriptor()	DescriptorValue_double[]	Calculate	NCDK.Config.BODRIsotopeFactory.Instance.ConfigureAtoms(mol);	TRUE		Returns the length over breadth.
NCDK	LongestAliphaticChain	new NCDK.QSAR.Descriptors.Moleculars.LongestAliphaticChainDescriptor(checkRingSystem: true)	DescriptorValue_int	Calculate				Returns the longest aliphatic chain.
NCDK	MannholdLogP	new NCDK.QSAR.Descriptors.Moleculars.MannholdLogPDescriptor()	DescriptorValue_double	Calculate				Returns the mannhold log.
NCDK	MDE	new NCDK.QSAR.Descriptors.Moleculars.MDEDescriptor()	DescriptorValue_double[]	Calculate				Returns the MDE.
NCDK	MomentOfInertia	new NCDK.QSAR.Descriptors.Moleculars.MomentOfInertiaDescriptor()	DescriptorValue_double[]	Calculate		TRUE		Returns the moment of inertia.
NCDK	PetitjeanNumber	new NCDK.QSAR.Descriptors.Moleculars.PetitjeanNumberDescriptor()	DescriptorValue_double	Calculate				Returns the petitjean number.
NCDK	PetitjeanShapeIndex	new NCDK.QSAR.Descriptors.Moleculars.PetitjeanShapeIndexDescriptor()	DescriptorValue_double[]	Calculate		TRUE		Returns the petitjean shape index.
NCDK	RotatableBondsCount	new NCDK.QSAR.Descriptors.Moleculars.RotatableBondsCountDescriptor()	DescriptorValue_int	Calculate				Returns the rotatable bonds count.
NCDK	RuleOfFive	new NCDK.QSAR.Descriptors.Moleculars.RuleOfFiveDescriptor()	DescriptorValue_int	Calculate				Returns the Rule of Five.
NCDK	SmallRing	new NCDK.QSAR.Descriptors.Moleculars.SmallRingDescriptor()	DescriptorValue_int[]	Calculate				Returns the small ring.
NCDK	TPSA	new NCDK.QSAR.Descriptors.Moleculars.TPSADescriptor()	DescriptorValue_double	Calculate				Returns the TPSA.
NCDK	VABC	new NCDK.QSAR.Descriptors.Moleculars.VABCDescriptor()	DescriptorValue_double	Calculate	AtomContainerManipulator.PercieveAtomTypesAndConfigureAtoms(mol); AddImplicitHydrogens(mol);			Returns the VABC.
NCDK	VAdjMa	new NCDK.QSAR.Descriptors.Moleculars.VAdjMaDescriptor()	DescriptorValue_double	Calculate				Returns the vadj ma.
NCDK	WeightedPath	new NCDK.QSAR.Descriptors.Moleculars.WeightedPathDescriptor()	DescriptorValue_double[]	Calculate				Returns the weighted path.
NCDK	WHIM	new NCDK.QSAR.Descriptors.Moleculars.WHIMDescriptor()	DescriptorValue_double[]	Calculate		TRUE		Returns the WHIM.
NCDK	WienerNumbers	new NCDK.QSAR.Descriptors.Moleculars.WienerNumbersDescriptor()	DescriptorValue_double[]	Calculate				Returns the wiener numbers.
NCDK	XLogP	new NCDK.QSAR.Descriptors.Moleculars.XLogPDescriptor()	DescriptorValue_double	Calculate				Returns the xlog PDe.
NCDK	ZagrebIndex	new NCDK.QSAR.Descriptors.Moleculars.ZagrebIndexDescriptor()	DescriptorValue_double	Calculate				Returns the zagreb index.
NCDK	ECFP0	new NCDK.Fingerprints.CircularFingerprinter(NCDK.Fingerprints.CircularFingerprinterClass.ECFP0)	IBitFingerprint	GetBitFingerprint				Returns ECFP0.
NCDK	ECFP2	new NCDK.Fingerprints.CircularFingerprinter(NCDK.Fingerprints.CircularFingerprinterClass.ECFP2)	IBitFingerprint	GetBitFingerprint				Returns ECFP2.
NCDK	ECFP4	new NCDK.Fingerprints.CircularFingerprinter(NCDK.Fingerprints.CircularFingerprinterClass.ECFP4)	IBitFingerprint	GetBitFingerprint				Returns ECFP4.
NCDK	ECFP6	new NCDK.Fingerprints.CircularFingerprinter(NCDK.Fingerprints.CircularFingerprinterClass.ECFP6)	IBitFingerprint	GetBitFingerprint				Returns ECFP6.
NCDK	FCFP0	new NCDK.Fingerprints.CircularFingerprinter(NCDK.Fingerprints.CircularFingerprinterClass.FCFP0)	IBitFingerprint	GetBitFingerprint				Returns FCFP0.
NCDK	FCFP2	new NCDK.Fingerprints.CircularFingerprinter(NCDK.Fingerprints.CircularFingerprinterClass.FCFP2)	IBitFingerprint	GetBitFingerprint				Returns FCFP2.
NCDK	FCFP4	new NCDK.Fingerprints.CircularFingerprinter(NCDK.Fingerprints.CircularFingerprinterClass.FCFP4)	IBitFingerprint	GetBitFingerprint				Returns FCFP4.
NCDK	FCFP6	new NCDK.Fingerprints.CircularFingerprinter(NCDK.Fingerprints.CircularFingerprinterClass.FCFP6)	IBitFingerprint	GetBitFingerprint				Returns FCFP6.
NCDK	AtomPairs2DFingerprint	new NCDK.Fingerprints.AtomPairs2DFingerprinter()	IBitFingerprint	GetBitFingerprint				Returns the AtomPairs2D fingerprint.
NCDK	EStateFingerprint	new NCDK.Fingerprints.EStateFingerprinter()	IBitFingerprint	GetBitFingerprint				Returns the EState fingerprint.
NCDK	ExtendedFingerprint	new NCDK.Fingerprints.ExtendedFingerprinter()	IBitFingerprint	GetBitFingerprint				Returns the Extended fingerprint.
NCDK	CDKFingerprint	new NCDK.Fingerprints.Fingerprinter()	IBitFingerprint	GetBitFingerprint				Returns the CDK fingerprint.
NCDK	KlekotaRothFingerprint	new NCDK.Fingerprints.KlekotaRothFingerprinter()	IBitFingerprint	GetBitFingerprint				Returns the KlekotaRoth fingerprint.
NCDK	LingoFingerprint	new NCDK.Fingerprints.LingoFingerprinter()	IBitFingerprint	GetBitFingerprint				Returns the Lingo fingerprint.
NCDK	MACCSFingerprint	new NCDK.Fingerprints.MACCSFingerprinter()	IBitFingerprint	GetBitFingerprint				Returns the MACCS fingerprint.
NCDK	ShortestPathFingerprint	new NCDK.Fingerprints.ShortestPathFingerprinter()	IBitFingerprint	GetBitFingerprint	AtomContainerManipulator.PercieveAtomTypesAndConfigureAtoms(mol);			Returns the ShortestPath.
NCDK	SubstructureFingerprint	new NCDK.Fingerprints.SubstructureFingerprinter()	IBitFingerprint	GetBitFingerprint				Returns the Substructure.
NCDK	PubchemFingerprint	new NCDK.Fingerprints.PubchemFingerprinter()	IBitFingerprint	GetBitFingerprint				Returns the Pubchem fingerprint.
RDKit	MACCSKeysFingerprint	RDKit.Descriptors	ExplicitBitVect	GetMACCSKeysFingerprint			TRUE	Returns the MACCSKeys fingerprint.
RDKit	LayeredFingerprint	RDKit.Chem	ExplicitBitVect	LayeredFingerprint			TRUE	Returns the Layered fingerprint.
RDKit	HashedAtomPairFingerprint	RDKit.Descriptors	ExplicitBitVect	GetHashedAtomPairFingerprintAsBitVect			TRUE	Returns the HashedAtomPair fingerprint.
RDKit	HashedTopologicalTorsionFingerprint	RDKit.Descriptors	ExplicitBitVect	GetHashedTopologicalTorsionFingerprintAsBitVect			TRUE	Returns the HashedTopologicalTorsion fingerprint.
RDKit	PatternFingerprint	RDKit.Chem	ExplicitBitVect	PatternFingerprint			TRUE	Returns the Pattern fingerprint.
RDKit	RDKFingerprint	RDKit.Chem	ExplicitBitVect	RDKFingerprint			TRUE	Returns the RDK fingerprint.
RDKit	AtomPairFingerprint	RDKit.Descriptors	SparseIntVect32	GetAtomPairFingerprint			TRUE	Returns the AtomPair fingerprint.
RDKit	TopologicalTorsionFingerprint	RDKit.Descriptors	SparseIntVect64	GetTopologicalTorsionFingerprint			TRUE	Returns the TopologicalTorsion fingerprint.
RDKit	Chi0n	RDKit.Descriptors	double	CalcChi0n			TRUE	Returns Chi0n.
RDKit	Chi0v	RDKit.Descriptors	double	CalcChi0v			TRUE	Returns Chi0v.
RDKit	Chi1n	RDKit.Descriptors	double	CalcChi1n			TRUE	Returns Chi1n.
RDKit	Chi1v	RDKit.Descriptors	double	CalcChi1v			TRUE	Returns Chi1v.
RDKit	Chi2n	RDKit.Descriptors	double	CalcChi2n			TRUE	Returns Chi2n.
RDKit	Chi2v	RDKit.Descriptors	double	CalcChi2v			TRUE	Returns Chi2v.
RDKit	Chi3n	RDKit.Descriptors	double	CalcChi3n			TRUE	Returns Chi3n.
RDKit	Chi3v	RDKit.Descriptors	double	CalcChi3v			TRUE	Returns Chi3v.
RDKit	Chi4n	RDKit.Descriptors	double	CalcChi4n			TRUE	Returns Chi4n.
RDKit	Chi4v	RDKit.Descriptors	double	CalcChi4v			TRUE	Returns Chi4v.
RDKit	Kappa1	RDKit.Descriptors	double	CalcKappa1			TRUE	Returns Kappa1.
RDKit	Kappa2	RDKit.Descriptors	double	CalcKappa2			TRUE	Returns Kappa2.
RDKit	Kappa3	RDKit.Descriptors	double	CalcKappa3			TRUE	Returns Kappa3.
RDKit	LabuteASA	RDKit.Descriptors	double	CalcLabuteASA			TRUE	Returns LabuteASA.
RDKit	MolLogP	RDKit.Chem.Crippen	double	MolLogP			TRUE	Returns MolLogP.
RDKit	MolMR	RDKit.Chem.Crippen	double	MolMR			TRUE	Returns MolMR.
RDKit	ExactMolWt	RDKit.Descriptors	double	CalcExactMolWt			TRUE	Returns ExactMolWt.
RDKit	FractionCSP3	RDKit.Descriptors	double	CalcFractionCSP3			TRUE	Returns FractionCSP3.
RDKit	HallKierAlpha	RDKit.Descriptors	double	CalcHallKierAlpha			TRUE	Returns HallKierAlpha.
RDKit	NumLipinskiHBA	RDKit.Descriptors	double	CalcNumLipinskiHBA			TRUE	Returns the number of LipinskiHBA.
RDKit	NumLipinskiHBD	RDKit.Descriptors	double	CalcNumLipinskiHBD			TRUE	Returns the number of LipinskiHBD.
RDKit	NumAliphaticCarbocycles	RDKit.Descriptors	double	CalcNumAliphaticCarbocycles			TRUE	Returns the number of AliphaticCarbocycles.
RDKit	NumAliphaticHeterocycles	RDKit.Descriptors	double	CalcNumAliphaticHeterocycles			TRUE	Returns the number of AliphaticHeterocycles.
RDKit	NumAliphaticRings	RDKit.Descriptors	double	CalcNumAliphaticRings			TRUE	Returns the number of AliphaticRings.
RDKit	NumAmideBonds	RDKit.Descriptors	double	CalcNumAmideBonds			TRUE	Returns the number of AmideBonds.
RDKit	NumAromaticCarbocycles	RDKit.Descriptors	double	CalcNumAromaticCarbocycles			TRUE	Returns the number of AromaticCarbocycles.
RDKit	NumAromaticHeterocycles	RDKit.Descriptors	double	CalcNumAromaticHeterocycles			TRUE	Returns the number of AromaticHeterocycles.
RDKit	NumAromaticRings	RDKit.Descriptors	double	CalcNumAromaticRings			TRUE	Returns the number of AromaticRings.
RDKit	NumBridgeheadAtoms	RDKit.Descriptors	double	CalcNumBridgeheadAtoms			TRUE	Returns the number of BridgeheadAtoms.
RDKit	NumHBA	RDKit.Descriptors	double	CalcNumHBA			TRUE	Returns the number of HBA.
RDKit	NumHBD	RDKit.Descriptors	double	CalcNumHBD			TRUE	Returns the number of HBD.
RDKit	TPSA	RDKit.Descriptors	double	CalcTPSA			TRUE	Returns TPSA.
RDKit	NumRotatableBonds	RDKit.Descriptors	double	CalcNumRotatableBonds			TRUE	Returns the number of RotatableBonds.
RDKit	NumHeteroatoms	RDKit.Descriptors	double	CalcNumHeteroatoms			TRUE	Returns the number of Heteroatoms.
RDKit	NumHeterocycles	RDKit.Descriptors	double	CalcNumHeterocycles			TRUE	Returns the number of Heterocycles.
RDKit	NumRings	RDKit.Descriptors	double	CalcNumRings			TRUE	Returns the number of Rings.
RDKit	NumSaturatedCarbocycles	RDKit.Descriptors	double	CalcNumSaturatedCarbocycles			TRUE	Returns the number of SaturatedCarbocycles.
RDKit	NumSaturatedHeterocycles	RDKit.Descriptors	double	CalcNumSaturatedHeterocycles			TRUE	Returns the number of SaturatedHeterocycles.
RDKit	NumSaturatedRings	RDKit.Descriptors	double	CalcNumSaturatedRings			TRUE	Returns the number of SaturatedRings.
RDKit	NumSpiroAtoms	RDKit.Descriptors	double	CalcNumSpiroAtoms			TRUE	Returns the number of SpiroAtoms.
RDKit	FormalCharge	RDKit.Chem	double	GetFormalCharge			TRUE	Returns the number of malCharge.
RDKit	NumAtomStereoCenters	RDKit.Descriptors	double	CalcNumAtomStereoCenters			TRUE	Returns the number of AtomStereoCenters.
RDKit	NumUnspecifiedAtomStereoCenters	RDKit.Descriptors	double	CalcNumUnspecifiedAtomStereoCenters			TRUE	Returns the number of UnspecifiedAtomStereoCenters.
RDKit	MolFormula	RDKit.Descriptors	string	CalcMolFormula			TRUE	Returns MolFormula.
RDKit	CXSmiles	RDKit.Chem	string	MolToCXSmiles			TRUE	Returns CXSmiles.
RDKit	InchiKey	RDKit.Chem	string	MolToInchiKey			TRUE	Returns InchiKey.
RDKit	MolBlock	RDKit.Chem	string	MolToMolBlock			TRUE	Returns MolBlock.
RDKit	PDBBlock	RDKit.Chem	string	MolToPDBBlock			TRUE	Returns PDBBlock.
RDKit	TPLBlock	RDKit.Chem	string	MolToTPLBlock			TRUE	Returns TPLBlock.
RDKit	XYZBlock	RDKit.Chem	string	MolToXYZBlock			TRUE	Returns XYZBlock.
RDKit	Smarts	RDKit.Chem	string	MolToSmarts			TRUE	Returns Smarts.
RDKit	Smiles	RDKit.Chem	string	MolToSmiles			TRUE	Returns Smiles.
RDKit	QED	RDKit.Chem.QED	double	Calculate			TRUE	Returns QED.
RDKit	NumHeavyAtoms	RDKit.Chem	double	GetNumHeavyAtoms			TRUE	Returns the number of HeavyAtoms.
RDKit	NumAtoms	RDKit.Chem	double	GetNumAtoms			TRUE	Returns the number of Atoms.
RDKit	NumBonds	RDKit.Chem	double	GetNumBonds			TRUE	Returns the number of Bonds.
